state_method,k,state_label,n_queries,best_model,best_utility,second_model,margin,mean_utility_variance,top_benchmark,top_benchmark_frac,top_domain,top_domain_frac
relative_kmeans,16,z00,56,qwen3-8b-local,1.0,gemini-3.5-flash,0.07358849853430594,0.07432360027424657,gsm8k,0.7321428571428571,math_easy,0.7321428571428571
relative_kmeans,16,z01,57,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.20588235294117652,0.03056897995089092,mbpp,0.45614035087719296,code,0.6842105263157895
relative_kmeans,16,z02,37,gemini-3.5-flash,0.9861868062717992,gpt-5.5,0.5418686684288364,0.05734206225863586,math500,0.4594594594594595,math,0.7027027027027027
relative_kmeans,16,z03,168,qwen3-32b-awq-local,0.0,qwen3-14b-awq-local,0.0,0.0025663170947468417,aime,0.25595238095238093,math,0.5535714285714286
relative_kmeans,16,z04,28,qwen3-4b-local,1.0,gemini-3.5-flash,0.2613872858699998,0.1205457180202661,gsm8k,0.35714285714285715,math_easy,0.35714285714285715
relative_kmeans,16,z05,54,qwen3-8b-local,1.0,qwen3-14b-awq-local,0.1428571428571429,0.14140006481797138,humaneval,0.24074074074074073,code,0.46296296296296297
relative_kmeans,16,z06,64,qwen3-4b-local,1.0,qwen3-8b-local,0.0,0.02469937471716628,humaneval,0.703125,code,0.859375
relative_kmeans,16,z07,59,gpt-5.5,0.6027963137266651,qwen3-14b-awq-local,0.6027963137266651,0.0020025083300822546,livemathbench,0.4067796610169492,math,0.8813559322033898
relative_kmeans,16,z08,60,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0006108370071154546,bbh,0.2833333333333333,math,0.4
relative_kmeans,16,z09,25,qwen3-32b-awq-local,1.0,qwen3-4b-local,0.9444444444444444,0.029939778040427623,gpqa,0.56,science,0.56
relative_kmeans,16,z10,16,qwen3-14b-awq-local,1.0,gpt-5.5,0.3510220353959469,0.0029764874137233107,math500,0.25,math,0.375
relative_kmeans,16,z11,33,qwen3-4b-local,1.0,qwen3-32b-awq-local,0.0,0.0635106496488178,gsm8k,0.36363636363636365,math_easy,0.36363636363636365
relative_kmeans,16,z12,21,qwen3-14b-awq-local,1.0,qwen3-4b-local,0.9090909090909091,0.020613958204283012,mmlupro,0.47619047619047616,broad_knowledge,0.47619047619047616
relative_kmeans,16,z13,40,gemini-3.5-flash,0.966447486552378,qwen3-32b-awq-local,0.086447486552378,0.061175494966215604,mbpp,0.325,code,0.425
relative_kmeans,16,z14,54,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0406820466654784,bbh,0.42592592592592593,reasoning,0.42592592592592593
relative_kmeans,16,z15,42,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.02265434617100286,mmlupro,0.5714285714285714,broad_knowledge,0.5714285714285714
